key,authors,year,title,venue,doi,url,category,role_in_codex,tickets,local_file,license_note,verified
biemont1975,"Biemont, E.; Grevesse, N.",1975,The solar photospheric abundance of iron,"Sol. Phys. 45, 59",10.1007/BF00152216,https://doi.org/10.1007/BF00152216,solar_reference,"Historical IR solar Fe determination: A(Fe I)=7.57+/-0.11, 40 weak IR Fe I lines 0.85-2.5um, EW 1D-LTE, Kurucz-1974 theoretical gf. RYA-714 IR litscan point; historical/1D-LTE outlier, plot ABOVE the modern band, not inside it. NOTE: earlier session mis-cited this as ""Allen 1978"" - corrected here.",RYA-714,,,crossref
senturk2024,"Senturk, S. A.; Sahin, T.; Guney, F.; Bilir, S.; Marismak, M.",2024,"Near-Infrared Spectroscopy of the Sun and Solar Analog Star HD 76151: Compiling an Extensive Line List in Y-, J-, H-, and K-Bands","ApJ 976, 175",10.3847/1538-4357/ad85e4,https://doi.org/10.3847/1538-4357/ad85e4,solar_reference,"Recent NIR solar Fe determination. NIR arm: Fe I 7.46+/-0.07 (74 lines), Fe II 7.50+/-0.02 (2 lines). Optical arm: Fe I 7.54, Fe II 7.51. Combined: Fe I 7.48, Fe II 7.47. EW+synth, 1D-LTE (MOOG/ATLAS9). FIREWALL (RYA-161 class): gf partly solar-tuned (selected to reproduce the observed solar abundance) -> NOT independent of the zero point. RYA-714 IR litscan CONFIRMING point (inside modern band), not an independent validation.",RYA-714,,,crossref
melendez1999,"Melendez, J.; Barbuy, B.",1999,Oscillator Strengths and Damping Constants for Atomic Lines in the J and H Bands,"ApJS 124, 527",10.1086/313261,https://doi.org/10.1086/313261,instrument_line_selection,"NIR Fe I/II astrophysical (solar-calibrated) gf line list. LINE-LIST SOURCE, not an abundance determination. FIREWALL: solar-tuned gf, cannot referee a solar abundance.",RYA-714,,,crossref
grilo2024,"Grilo, V.; Souto, D.; Cunha, K.; Guerco, R.; Vieira, R.; Smith, V. V.",2024,Chemical abundances for a sample of FGK dwarfs in the Pleiades open cluster from APOGEE,"MNRAS 534, 3005",10.1093/mnras/stae2209,https://doi.org/10.1093/mnras/stae2209,instrument_line_selection,"Fe I line selection (77 lines) for G-type dwarfs. LINE-LIST SOURCE, no abundance value. NOTE: CrossRef confirms author/year/venue/instrument (APOGEE 1.51-1.69um, 1D-LTE, FGK dwarfs, Fe among 12 elements); the 77-line count itself is from RYA-714 and was not re-verified from the abstract.",RYA-714,,,crossref
codex_note_harps_telluric_stop_2026_08_19,"Schmitt, R. D. (Exoplanet Codex)",2026,STOP - every HARPS product from 2026-08-19 is SUSPECT (telluric),Exoplanet Codex internal note,,,project_doc,"Library context, NOT a pipeline input. A working note written when the Linear token expired before it could be posted to RYA-916; the finding it carries lives in the ticket journal, not here. Listed because an unlisted document is an uncited one (RYA-854).",RYA-916;RYA-854;RYA-963,HARPS-telluric-STOP-2026-08-19.md,Own work,extracted
codex_note_kpno_telluric_line_selection_draft,"Schmitt, R. D. (Exoplanet Codex)",2026,TICKET DRAFT - kpno declares telluric_basis = line_selection and does not execute it,Exoplanet Codex internal note,,,project_doc,"Library context, NOT a pipeline input. A ticket draft parked in the library when the Linear token expired. Listed for completeness (RYA-854), not because it is a source.",RYA-854;RYA-963,TICKET-DRAFT-kpno-telluric-line-selection.md,Own work,extracted
soubiran2024,"Soubiran, C.; Creevey, O. L.; Lagarde, N.; et al.",2024,Gaia FGK benchmark stars: Fundamental Teff and log g of the third version,"A&A 682, A145",10.1051/0004-6361/202347136,https://doi.org/10.1051/0004-6361/202347136,benchmark_params,The GBS THIRD version. RYA-968 mirrors the GBS line-admission methodology (graded lines as a reference distribution). Our stars.yaml still carries the Heiter+2015 / Jofre+2014 scale (RYA-957) - migrating to v3 is a separate decision.,RYA-968; RYA-957,,,crossref
carbajohijarrubia2024,"Carbajo-Hijarrubia, J.; Casamiquela, L.; Carrera, R.; et al.",2024,OCCASO V. Chemical-abundance trends with Galactocentric distance and age,"A&A 687, A239",10.1051/0004-6361/202347648,https://doi.org/10.1051/0004-6361/202347648,benchmark_params,"OCCASO. With the GBS third version, the published precedent for RYA-968: use graded lines as a reference distribution and ADMIT ungraded lines that fall within tolerance of the anchor, rather than inflating a blanket systematic.",RYA-968,,arXiv:2405.00110,crossref
jofre2019,"Jofre, P.; Heiter, U.; Soubiran, C.",2019,Accuracy and Precision of Industrial Stellar Abundances,"ARA&A 57, 571",10.1146/annurev-astro-091918-104509,https://doi.org/10.1146/annurev-astro-091918-104509,benchmark_params,"The review establishing that roughly half of optical lines lack a reliable laboratory gf - why the ungraded problem is unavoidable and why RYA-968 matters. NOTE: cited in the RYA-968 discussion as ""Heiter 2019""; the first author is JOFRE (Heiter is second). Corrected here.",RYA-968,,arXiv:1811.08041,crossref
feltzing2009,"Feltzing, S.; Primas, F.; Johnson, R. A.",2009,Stellar abundances and ages for metal-rich Milky Way globular clusters,"A&A 493, 913",10.1051/0004-6361:200810137,https://doi.org/10.1051/0004-6361:200810137,benchmark_params,"The literature basis for the RYA-161 firewall: astrophysical (solar-fitted) gf is legitimate for DIFFERENTIAL work, where gf cancels, and forbidden for ABSOLUTE work, where it is circular. Cited in RYA-968 as ""NGC6352"".",RYA-968; RYA-161,,arXiv:0810.4832,crossref
jofre2015,"Jofre, P.; Heiter, U.; Soubiran, C.; et al.",2015,Gaia FGK benchmark stars: abundances of alpha and iron-peak elements,"A&A 582, A81",10.1051/0004-6361/201526604,https://doi.org/10.1051/0004-6361/201526604,benchmark_params,"THE two-step differential bridge: target -> same-type benchmark -> Sun. The method RYA-969 formalises, and the source of the documented failure limits (Sun -> HD140283 at [Fe/H] -2.5, and Sun -> M giant across ~2000 K).",RYA-969,,arXiv:1507.00027,crossref
bedell2014,"Bedell, M.; Melendez, J.; Bean, J. L.; et al.",2014,Stellar Chemical Abundances: In Pursuit of the Highest Achievable Precision,"ApJ 795, 23",10.1088/0004-637X/795/1/23,https://doi.org/10.1088/0004-637X/795/1/23,benchmark_params,The precision ceiling of line-by-line differential analysis; one of the three anchors for RYA-969 differential layer target precision.,RYA-969,,,crossref
nissen2015,"Nissen, P. E.",2015,High-precision abundances of elements in solar twin stars: Trends with stellar age and elemental condensation temperature,"A&A 579, A52",10.1051/0004-6361/201526269,https://doi.org/10.1051/0004-6361/201526269,benchmark_params,Solar-twin differential abundances at 0.01-0.02 dex; the third precision anchor for RYA-969.,RYA-969,,arXiv:1504.07598,crossref
melendez2009twins,"Melendez, J.; Asplund, M.; Gustafsson, B.; Yong, D.",2009,The peculiar solar composition and its possible relation to planet formation,"ApJ 704, L66",10.1088/0004-637X/704/1/L66,https://doi.org/10.1088/0004-637X/704/1/L66,benchmark_params,"Line-by-line DIFFERENTIAL analysis against solar twins reaching ~0.01 dex - the precision RYA-969 exists to reach. KEY IS DELIBERATELY NOT `melendez2009`: that key is taken by Melendez & Barbuy 2009 (A&A 497, 611), the FIREWALLED Fe II gf paper (RYA-161/852) - a different paper by a different author pair. NOTE: RYA-969 cites this as ""aa13038-09"", an A&A manuscript number that matches neither; if the A&A companion (Ramirez, Melendez & Asplund 2009, A&A 508, L17) was intended, that needs confirming before it is relied on.",RYA-969,,arXiv:0909.2299,crossref
saarosten1997,"Saar, S. H.; Osten, R. A.",1997,"Rotation, turbulence and evidence for magnetic fields in southern dwarfs","MNRAS 284, 803",10.1093/mnras/284.4.803,https://doi.org/10.1093/mnras/284.4.803,benchmark_params,"Table 3 supplies the ADOPTED radial-tangential vmac + vsini for eps Eri (HD 22049: vsini 1.7+/-0.3, vmac 1.8+/-0.5) — the only direct per-star macroturbulence published for it. Sect. 3.1 states their RT model is ""identical to that of Gray"", which is what puts the value on the same scale as the Bruntt+2010 values used for alpha Cen and tau Cet.",RYA-988,,"Read from the ADS scan (1997MNRAS.284..803S). Table 3 column order verified against the Sun and alpha Cen A/B rows. NOTE: Bruntt+2010 Table B1 reprints these values with its ""Saar"" vsini/vmac columns TRANSPOSED (checked for the Sun, tau Cet, alpha Cen A and alpha Cen B) — cite this paper directly, never Bruntt's Saar column.",crossref
gray1984,"Gray, D. F.",1984,"Measurements of rotation and turbulence in F, G, and K dwarfs","ApJ 281, 719",10.1086/162149,https://doi.org/10.1086/162149,benchmark_params,"Fourier-domain zeta_RT for F/G/K dwarfs, and the eq. (4) calibration <zeta_RT> = 3.95*Teff(kK) - 19.25. Cited in RYA-988 as the NEGATIVE result for eps Eri: Gray reports it but states the Zeeman-corrected residual broadening was ""too small to properly analyze"" at his resolution, and warns the relation does not delineate the K dwarfs — which is why the calibration route was rejected there.",RYA-988,,"Read from the ADS scan (1984ApJ...281..719G). CAUTION: DOI 10.1086/162150 is NOT this paper — it is Lane & Lester 1984 at ApJ 281, 723, the next article in the same issue. Gray's Zeeman companion paper is ApJ 277, 640 (10.1086/161735).",crossref
doyle2014,"Doyle, Amanda P.; Davies, Guy R.; Smalley, Barry; Chaplin, William J.; Elsworth, Yvonne",2014,Determining stellar macroturbulence using asteroseismic rotational velocities from Kepler,"MNRAS 444, 3592",10.1093/mnras/stu1692,https://doi.org/10.1093/mnras/stu1692,benchmark_params,"vmac(Teff, logg) calibration from 26 Kepler stars + the Sun. Evaluated and REJECTED for eps Eri in RYA-988: the paper states validity only over Teff 5200-6400 K and logg 4.0-4.6, and eps Eri (5076 K, logg 4.61) falls outside on BOTH axes, so applying it would extrapolate past the authors' stated range.",RYA-988,,,crossref
